ID,이름,사용 시 효과,장착 시 효과,수치(+),수치(*),부여 버프 스트링,해금 주제 (UI),발동 조건
I_CL_001,자동 보정 렌즈,,Perfect 판정 범위 증가,0.1,0,,,해당 아이템을 카메라 개조의 렌즈 슬롯에 장착 시 발동
I_CL_002,연속 촬영 렌즈,,공격 방식 변경,0,0,,,해당 아이템을 카메라 개조의 렌즈 슬롯에 장착 시 발동
I_CF_001,확장 조명 장치,,플래시 세로 길이 증가,0.5,0,,,해당 아이템을 카메라 개조의 램프 슬롯에 장착 시 발동
I_CF_002,광원 강화 장치,,플래시 가로 길이 증가,0.5,0,,,해당 아이템을 카메라 개조의 램프 슬롯에 장착 시 발동
I_EQ_001,10년 전 신문 (1),호감도 증감,,-3,0,,,보스 몬스터 '루비'와의 전투에서 해당 아이템 사용 시 발동
I_EQ_002,비밀스러운 사진,호감도 증감,,-1,0,Buff_Confuse,,보스 몬스터 '루비'와의 전투에서 해당 아이템 사용 시 발동
I_EQ_003,곰 인형,호감도 증감,,1,0,,,보스 몬스터 '루비'와의 전투에서 해당 아이템 사용 시 발동
I_EQ_004,10년 전 신문 (2),호감도 증감,,3,0,,,보스 몬스터 '더스티 베일'과의 전투에서 해당 아이템 사용 시 발동
I_EQ_005,낡은 손거울,호감도 증감,,1,0,Buff_Confuse,,보스 몬스터 '더스티 베일'과의 전투에서 해당 아이템 사용 시 발동
I_EQ_006,혈흔이 묻은 종이 조각,호감도 증감,,-3,0,,,보스 몬스터 '더스티 베일'과의 전투에서 해당 아이템 사용 시 발동
I_PV_001,스프링 노트,단서 정보 확인,,0,0,,,해당 아이템을 필드에서 사용 시 발동
I_PV_002,낡은 일기장,인터뷰 해금,,0,0,,UI_002,해당 아이템을 필드에서 사용 시 발동
I_PV_003,슬래그파 부하의 기록,인터뷰 해금,,0,0,,UI_003,해당 아이템을 필드에서 사용 시 발동
I_PV_004,주택가에서 들리는 소문에 관한 메모,인터뷰 해금,,0,0,,UI_004,해당 아이템을 필드에서 사용 시 발동
I_PV_005,오래된 사건 일지,인터뷰 해금,,0,0,,UI_021,해당 아이템을 필드에서 사용 시 발동
I_PV_006,조용했던 그 날 밤의 이야기,인터뷰 해금,,0,0,,UI_022,해당 아이템을 필드에서 사용 시 발동
I_PV_007,히어로와 대화 기록,인터뷰 해금,,0,0,,UI_023,해당 아이템을 필드에서 사용 시 발동
I_HI_001,붙이는 밴드,체력 회복,,10,0,,,해당 아이템을 필드 혹은 전투에서 사용 시 발동
I_HI_002,진통제,체력 회복,,30,0,,,해당 아이템을 필드 혹은 전투에서 사용 시 발동
I_HI_003,얇은 붕대,체력 회복,,0,0.5,,,해당 아이템을 필드 혹은 전투에서 사용 시 발동
I_HI_004,빨간 약,체력 회복,,0,1,,,해당 아이템을 필드 혹은 전투에서 사용 시 발동
